pmid	doi	title	authors	year	chart_ids
32169942	10.1128/aem.00120-20	CosR Is a Global Regulator of the Osmotic Stress Response with Widespread Distribution among Bacteria.	Gregory GJ	2020	ecoli_e._coli_osmotic_stress_response
32327568	10.1126/science.aaz2449	Structural basis of ER-associated protein degradation mediated by the Hrd1 ubiquitin ligase complex.	Wu X	2020	yeast_yeast_er_associated_degradation
32482724	pii: jb.00236-20. 10.1128/jb.00236-20	Assembly mechanism of a supramolecular MS-ring complex to initiate bacterial flagellar biogenesis in Vibrio species.	Terashima H	2020	ecoli_e._coli_flagellar_assembly
3275651		Transcription attenuation	Yanofsky C	1988	ecoli_trp_operon
33173005	10.1128/mbio.02743-20	Different Routes of Protein Folding Contribute to Improved Protein Production in Saccharomyces cerevisiae.	Qi Q	2020	yeast_protein_folding
33197221		Autophagy genes in biology and disease	Levine B	2021	yeast_autophagy
34283283	10.1007/s00284-021-02613-7	C Group-Mediated Antibiotic Stress Mimics the Cold Shock Response.	Cardoza E	2021	ecoli_cold_shock_response
34472666	10.1111/gtc.12892	Post-translational modifications of proteins associated with yeast peroxisome membrane: An essential mode of regulatory mechanism.	Infant T	2021	yeast_yeast_peroxisome_biogenesis
34668544	10.1242/jcs.258469	Compartmentalization and metabolic regulation of glycolysis.	Fuller GG	2021	yeast_yeast_glycolysis_regulation
34720078		Plant Based Natural Products as Quorum Sensing Inhibitors in Food Spoilage Bacteria	Raorane CJ	2021	ecoli_quorum_sensing
34954369	10.1016/j.ijantimicag.2021.106505	Polymyxin causes cell envelope remodelling and stress responses in mcr-1-harbouring Escherichia coli.	Nang SC	2022	ecoli_envelope_stress_response
34989900	10.1007/s11274-021-03222-z	Transcriptomic analysis of formic acid stress response in Saccharomyces cerevisiae.	Zeng L	2022	yeast_oxidative_stress_response
35150808	10.1016/j.bbamcr.2022.119238	Glycerol 3-phosphate dehydrogenase regulates heat shock response in Saccharomyces cerevisiae.	Pallapati AR	2022	yeast_heat_shock_response
35158208	10.1016/j.bbrc.2022.02.016	Involvement of Gtr1p in the oxidative stress response in yeast Saccharomyces cerevisiae.	Sekiguchi T	2022	yeast_oxidative_stress_response
35294769	10.1007/s40265-022-01688-1	Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria.	Zhanel GG	2022	ecoli_antibiotic_efflux_pumps
3534538		Biosynthesis and metabolism of arginine in bacteria	Cunin R, Glansdorff N, Piérard A, Stalon V	1986	ecoli_arginine_biosynthesis
354503	10.1146/annurev.bi.47.070178.002203	Biosynthesis of amino acids	Umbarger HE	1978	ecoli_amino_acid_biosynthesis
35630329		Mechanisms of Inhibition of Quorum Sensing as an Alternative for the Control of E. coli and Salmonella	Castillo-Juárez I	2022	ecoli_quorum_sensing
35636514	10.1016/j.jbc.2022.102083	Intracellular localization of the proteasome in response to stress conditions.	Enenkel C	2022	yeast_osmotic_stress_response
35648826	10.1073/pnas.2118566119	A broadly applicable, stress-mediated bacterial death pathway regulated by the phosphotransferase system (PTS) and the cAMP-Crp cascade.	Zeng J	2022	ecoli_phosphate_regulation
35920318	10.1093/nar/gkac643	Alteration of DNA supercoiling serves as a trigger of short-term cold shock repressed genes of E. coli.	Dash S	2022	ecoli_cold_shock_response
36240765	10.1016/j.cell.2022.09.030	The replisome guides nucleosome assembly during DNA replication	Sauer PV, Corbeski I, Lu Y, et al	2022	ecoli_dna_replication_elongation
36758548	10.1016/j.cell.2023.01.014	Flux regulation through glycolysis and respiration is balanced by inositol pyrophosphates in yeast.	Qin N	2023	yeast_yeast_glycolysis_regulation
36864250		The biofilm matrix: multitasking in a shared space	Flemming HC	2023	ecoli_biofilm_formation
36892778	10.1007/s12275-023-00030-y	Envelope-Stress Sensing Mechanism of Rcs and Cpx Signaling Pathways in Gram-Negative Bacteria.	Cho SH	2023	ecoli_envelope_stress_response
36906298	10.1016/j.fm.2023.104244	The role of PhoP/PhoQ system in regulating stress adaptation response in Escherichia coli O157:H7.	Han J	2023	ecoli_e._coli_osmotic_stress_response
36972330	10.1099/mic.0.001312	Regulation of phosphate starvation-specific responses in Escherichia coli.	Moreau PL	2023	ecoli_phosphate_regulation
37312272		Quorum sensing architecture network in Escherichia coli virulence and pathogenesis	Lamas A	2023	ecoli_quorum_sensing
37333716	10.1007/s13205-023-03656-2	An in-silico study to understand the effect of lineage diversity on cold shock response: unveiling protein-RNA interactions among paralogous CSPs of E. coli.	Roy A	2023	ecoli_cold_shock_response
37594406	10.1080/15548627.2023.2247300	Interplay of energy metabolism and autophagy.	Feng Y	2024	yeast_yeast_vacuolar_protein_sorting
38638826	10.3389/fcimb.2024.1387497	A review of the mechanisms that confer antibiotic resistance in pathotypes of E. coli.	Nasrollahian S	2024	ecoli_antibiotic_efflux_pumps
388431	10.1073/pnas.76.11.5524	The tryptophan operon: a coordinated mechanism for the regulation of biosynthesis	Oxender DL, Zurawski G, Yanofsky C	1979	ecoli_trp_operon
38908370	10.1016/j.molcel.2024.06.002	Mechanism of chaperone coordination during cotranslational protein folding in bacteria.	Roeselová A	2024	ecoli_protein_folding_chaperones
38926585	10.1038/s41586-024-07598-4	TnpB homologues exapted from transposons are RNA-guided transcription factors.	Wiegand T	2024	ecoli_e._coli_flagellar_assembly
39461958	10.1038/s41467-024-53676-6	The Dsc ubiquitin ligase complex identifies transmembrane degrons to degrade orphaned proteins at the Golgi.	Weyer Y	2024	yeast_yeast_vacuolar_protein_sorting
39533056	10.1038/s44318-024-00301-3	Determinants of chemoselectivity in ubiquitination by the J2 family of ubiquitin-conjugating enzymes.	Swarnkar A	2024	yeast_yeast_er_associated_degradation
39978345	10.1016/j.cell.2025.01.037	SecY translocon chaperones protein folding during membrane protein insertion.	Ou X	2025	ecoli_protein_folding_chaperones
40064436	10.1016/j.ymben.2025.03.006	Mechanism and engineering of endoplasmic reticulum-localized membrane protein folding in Saccharomyces cerevisiae.	Luo Y	2025	yeast_protein_folding
40486491	10.1016/j.bbrep.2025.102051	Intrinsic clustering of flagellar basal body proteins in E. coli: A self-organization mechanism for assembly and regulation.	Sung YS	2025	ecoli_e._coli_flagellar_assembly
40823832	10.1128/mbio.01613-25	Loss of cardiolipin and porins bypasses the essentiality of the sigma E cell envelope stress response in Escherichia coli.	Yang Z	2025	ecoli_envelope_stress_response
4298072	10.1016/0022-2836(68)90398-3	Allosteric regulation of phosphofructokinase from Escherichia coli	Blangy D, Buc H, Monod J	1968	ecoli_glycolysis
4613164	10.1146/annurev.ge.08.120174.001251	Regulation of the L-arabinose operon of Escherichia coli	Englesberg E, Wilcox G	1974	ecoli_ara_operon
4628819		Chemotaxis in Escherichia coli analyzed by three-dimensional tracking	Berg HC	1972	ecoli_chemotaxis
4871331	10.1016/0006-291x(68)90532-6	Catabolite repression and the lac operon	Ullmann A, Monod J	1968	ecoli_catabolite_repression
6380755	10.1016/0092-8674(83)90354-9	The mechanism of Escherichia coli UvrABC endonuclease	Sancar A, Rupp WD	1983	ecoli_nucleotide_excision_repair
6387427		Regulation of the maltose regulon in Escherichia coli	Raibaud O, Schwartz M	1984	ecoli_mal_regulon
6449016	10.1073/pnas.77.6.3225	RecA protein binds to and promotes the degradation of LexA repressor	Little JW, Edmiston SH, Pacelli LZ, Mount DW	1980	ecoli_dna_damage_checkpoint
6687628	10.1038/302670a0	Molecular analysis of a cell lineage	Nasmyth K	1983	yeast_mating_type_switching
6750117	10.1038/300458a0	Isocitrate dehydrogenase of Escherichia coli	LaPorte DC, Koshland DE Jr	1982	ecoli_tca_cycle
6896933	10.1126/science.6896933	A pheromone influences larval development in the nematode Caenorhabditis elegans	Golden JW, Riddle DL	1982	celegans_dauer_decision
7007895	10.1038/289751a0	Attenuation in the control of expression of bacterial operons	Yanofsky C	1981	ecoli_trp_operon
7053433	10.1016/0092-8674(82)90085-x	The SOS regulatory system of Escherichia coli	Little JW, Mount DW	1982	ecoli_sos_lexa
7489502	10.1016/s1097-2765(00)80218-6	The Holliday junction resolvase RuvC is a dimer that acts in trans	Saito A, Iwasaki H, Ariyoshi M, Morikawa K, Shinagawa H	1995	ecoli_homologous_recombination
7537109	10.1021/bi00016a025	Control of Rho-dependent transcription termination by NusG is specific to the Escherichia coli elongation complex	Burns CM, Richardson JP	1995	ecoli_transcription_termination
7590257	10.1101/gad.9.22.2859	Topoisomerase IV, not gyrase, decatenates products of site-specific recombination in Escherichia coli	Zechiedrich EL, Cozzarelli NR	1995	ecoli_dna_replication_termination
7601342	10.1096/fasebj.9.9.7601342	Transcriptional regulation in the yeast GAL gene family: a complex genetic network	Lohr D, Venkov P, Zlatanova J	1995	yeast_gal_regulation
7686999	10.1016/0958-1669(93)90140-9	Regulation of the heat shock response	Yura T, Nagai H, Mori H	1993	ecoli_heat_shock_response
7854251	10.1128/mr.58.4.631-640.1994	The arginine repressor of Escherichia coli	Maas WK	1994	ecoli_arginine_biosynthesis
7968919		Transcription-repair coupling and mutation frequency decline	Selby CP, Sancar A	1994	ecoli_nucleotide_excision_repair
8002614	10.1128/jb.176.24.7516-7524.1994	Glycerol production in response to hyperosmotic stress involves the HOG pathway	Albertyn J, Hohmann S, Thevelein JM, Prior BA	1994	yeast_hog_pathway
8011018	10.1016/0092-8674(94)90156-2	SeqA: a negative modulator of replication initiation in E. coli	Lu M, Campbell JL, Boye E, Kleckner N	1994	ecoli_dna_replication_initiation
8177168	10.1128/mr.57.3.543-594.1993	The phosphoenolpyruvate:sugar phosphotransferase system in Escherichia coli	Postma PW, Lengeler JW, Jacobson GR	1993	ecoli_glycolysis
8196626	10.1128/mcb.14.6.3834	Multiple mechanisms provide rapid and stringent glucose repression of GAL gene expression in Saccharomyces cerevisiae	Johnston M, Flick JS, Pexton T	1994	yeast_gal_regulation
8218348	10.1016/0167-4781(93)90042-g	Mitochondrial biogenesis in yeast	Liao X, Butow RA	1993	yeast_mitochondrial_biogenesis
8252621	10.1016/0092-8674(93)90529-y	The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14	Lee RC, Feinbaum RL, Ambros V	1993	celegans_heterochronic_clock
8257105	10.1146/annurev.mi.47.100193.002301	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis	Hoch JA	1993	bacillus_sporulation_initiation
8257110	10.1146/annurev.mi.47.100193.002223	Heat shock response in E. coli	Yura T, Nagai H, Mori H	1993	ecoli_e._coli_heat_shock_response
8294554	10.1083/jcb.123.6.1305	Two redundant transmembrane mechanisms participate in yeast osmotic stress sensing	Maeda T, Wurgler-Murphy SM, Saito H	1994	yeast_hog_pathway
8341589	10.1093/nar/21.14.3171	The CRP/CAP regulon	Kolb A, Busby S, Buc H, Garges S, Adhya S	1993	ecoli_catabolite_repression
8391169	10.1126/science.8391169	The HOG pathway controls osmotic regulation in yeast	Brewster JL, de Valoir T, Dwyer ND, Winter E, Gustin MC	1993	yeast_hog_pathway
8395888	10.1016/0167-4781(93)90196-9	AraC protein: a love-hate relationship with DNA	Bustos SA, Schleif RF	1993	ecoli_ara_operon
8426905	10.1016/0079-6107(93)90001-z	Evolution of glycolysis	Fothergill-Gilmore LA, Michels PA	1993	yeast_glycolysis
8567624	10.1074/jbc.271.4.1833	Regulation of fatty acid elongation and initiation by acyl-acyl carrier protein in Escherichia coli	Heath RJ, Rock CO	1996	ecoli_fatty_acid_synthesis
8631678	10.1128/jb.178.11.3391-3393.1996	Anaerobic regulation of the adhE gene, encoding the fermentative alcohol dehydrogenase of Escherichia coli	Leonardo MR, Dailly Y, Clark DP	1996	ecoli_anaerobic_respiration
8631707	10.1128/jb.178.8.2077-2082.1996	Phosphate assimilation in E. coli	Wanner BL	1996	ecoli_phosphate_transport
8655580	10.1083/jcb.135.6.1727	Cell fusion during yeast mating requires high levels of a-factor mating pheromone	Brizzio V	1996	yeast_mating_response
8670867	10.1002/j.1460-2075.1996.tb00682.x	Ire1p kinase activity is required for induction of the unfolded protein response	Shamu CE	1996	yeast_unfolded_protein_response
8672543	10.1016/0005-2728(96)00041-7	Succinate dehydrogenase of Escherichia coli: cellular and molecular biology	Hägerhäll C, Hederstedt L	1996	ecoli_tca_cycle
8682777	10.1128/jb.178.13.3779-3787.1996	Modulation of porin gene expression by the two-component regulatory system EnvZ-OmpR	Pratt LA, Hsing W, Gibson KE, Silhavy TJ	1996	ecoli_two_component_signaling
8689686	10.1016/s0092-8674(00)80077-7	The T cell leukemia gene SCL/tal-1 is essential for generation of hematopoietic lineages	Porcher C, Swat W, Rockwell K, Fujiwara Y, Alt FW, Orkin SH	1996	human_scl_tal1_hematopoietic_switch
8752318	10.1128/jb.178.17.5024-5032.1996	Phosphate assimilation and control of alkaline phosphatase synthesis in Escherichia coli	Wanner BL	1996	ecoli_pho_regulon
8811176	10.1146/annurev.bi.65.070196.000533	Bacterial methyl-directed DNA mismatch repair	Modrich P, Lahue R	1996	ecoli_mismatch_repair
8825484	10.1146/annurev.ge.29.120195.002401	Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis	Grossman AD	1995	bacillus_sporulation_initiation
8850997		The cold-shock response in bacteria.	Wolffe AP	1995	ecoli_cold_shock_response
8982460	10.1146/annurev.genet.30.1.405	The ubiquitin system	Hochstrasser M	1996	yeast_ubiquitin_proteasome
9015458	10.1006/jtbi.1996.0233	Pattern formation by lateral inhibition with feedback: a mathematical model of Delta-Notch intercellular signalling	Collier JR, Monk NA, Maini PK, Lewis JH	1996	human_notch_delta_lateral_inhibition
9054499	10.1016/s0092-8674(00)81902-9	Oncogenic ras provokes premature cell senescence associated with accumulation of p53 and p16INK4a	Serrano M, Lin AW, McCurrach ME, Beach D, Lowe SW	1997	human_p16_rb_senescence
9096309	10.1073/pnas.94.9.4389	EF-G-catalyzed translocation of anticodon stem-loop analogs of transfer RNA in the ribosome	Rodnina MV, Savelsbergh A, Katunin VI, Wintermeyer W	1997	ecoli_translation_elongation
9184233	10.1093/emboj/16.7.1521	The MAPK Hog1 mediates osmotic stress signaling through scaffold protein Pbs2	Posas F, Saito H	1997	yeast_hog_pathway
9220155	10.1126/science.276.5315.1886	Cyclins and cell cycle checkpoints	Nurse P	1997	yeast_cell_cycle_control
9223282	10.1073/pnas.94.1.173	SoxR, a [2Fe-2S] transcription factor, is active only in its oxidized form	Hidalgo E, Ding H, Demple B	1997	ecoli_oxidative_stress_response
9299703	10.1111/j.1574-6976.1997.tb00346.x	The molecular genetics of hexose transport in yeasts	Boles E, Hollenberg CP	1997	yeast_glycolysis
9312005	10.1093/emboj/16.13.4126	Release factor RF3 in E.coli accelerates the dissociation of release factors RF1 and RF2 from the ribosome in a GTP-dependent manner	Freistroffer DV, Pavlov MY, MacDougall J, Buckingham RH, Ehrenberg M	1997	ecoli_translation_termination
9317128		Granulocyte colony-stimulating factor induces C/EBPα and C/EBPβ expression in myeloid progenitors	Ye M, Zhang H, Yang H, et al.	1997	human_cebpa_myeloid_commitment
9335278	10.1099/00221287-143-10-3301	Escherichia coli contains two aconitases: aconitase A and aconitase B	Gruer MJ, Artymiuk PJ, Guest JR	1997	ecoli_tca_cycle
9363945		Enteropathogenic E. coli (EPEC) transfers its receptor for intimate adherence into mammalian cells	Kenny B	1997	ecoli_type_iii_secretion
9381172	10.1126/science.277.5334.2099	FNR is a direct oxygen sensor having a [4Fe-4S] cluster	Khoroshilova N, Popescu C, Münck E, Beinert H, Kiley PJ	1997	ecoli_anaerobic_respiration
9402015	10.1046/j.1365-2958.1997.5861945.x	Signal transduction by the EnvZ-OmpR phosphorelay system in bacteria	Mizuno T	1997	ecoli_two_component_signaling
9422595	10.1128/jb.180.3.680-689.1998	The Escherichia coli Zur regulates ZnuABC zinc import	Patzer SI, Hantke K	1998	ecoli_heavy_metal_resistance
9442869		The two-component signaling pathway of bacterial chemotaxis: a molecular view of signal transduction by receptors, kinases, and adaptation enzymes	Falke JJ	1997	ecoli_chemotaxis
9442875	10.1146/annurev.cellbio.13.1.261	The regulation of CDK activity in budding yeast	Morgan DO	1997	yeast_cell_cycle_control
9572732	10.1126/science.280.5365.895	The biochemical basis of an all-or-none cell fate switch in Xenopus oocytes	Ferrell JE, Machleder EM	1998	human_erk_bistable_switch
9670023	10.1093/emboj/17.14.4086	The yeast galactose genetic switch is mediated by the formation of a Gal4p-Gal80p-Gal3p complex	Platt A, Reece RJ	1998	yeast_gal_regulation
9691025	10.1093/genetics/149.4.1633	Stochastic kinetic analysis of developmental pathway bifurcation in phage lambda-infected Escherichia coli cells	Arkin A, Ross J, McAdams HH	1998	ecoli_lambda_switch
9719873		Protein traffic in the yeast endocytic and vacuolar protein sorting pathways.	Wendland B	1998	yeast_yeast_vacuolar_protein_sorting
9826730	10.1073/pnas.95.21.12462	Small RNAs, DsrA and RprA, control the synthesis of the stationary phase sigma factor in Escherichia coli	Majdalani N, Cunning C, Sledjeski D, Elliott T, Gottesman S	1998	ecoli_starvation_response
9857172	10.1093/emboj/17.24.7151	The ubiquitin-proteasome pathway: on protein death and cell life	Hershko A, Ciechanover A	1998	yeast_ubiquitin_proteasome
9887101	10.1101/gad.13.1.76	Keap1 represses nuclear activation of antioxidant responsive elements by Nrf2 through binding to the amino-terminal Neh2 domain	Itoh K, Wakabayashi N, Katoh Y, et al.	1999	human_nrf2_keap1
